# 排序待優化案例（enhancement）：全部 18181 筆，AI有推到正解但排在第6~10名、前端看不到，逐筆理想重排（正解移至第1名）。訓練回饋用，非全域規則。
排序問題樣態,職缺名稱,duty0,duty1,duty2,duty3,duty4,現有版本_推薦1,現有版本_推薦2,現有版本_推薦3,現有版本_推薦4,現有版本_推薦5,現有版本_推薦6,現有版本_推薦7,現有版本_推薦8,現有版本_推薦9,現有版本_推薦10,理想推薦_1,理想推薦_2,理想推薦_3,理想推薦_4,理想推薦_5,理想推薦_6,理想推薦_7,理想推薦_8,理想推薦_9,理想推薦_10
,健身諮詢專員(World Gym台北通化店),國內業務人員,產品企劃人員,電話行銷人員,,,神秘客,門市／店員／專櫃人員,產品經理,客服主管,產品企劃主管,國內業務人員,金融營業人員,電話客服人員,廣告設計,售票／收銀人員,國內業務人員,神秘客,門市／店員／專櫃人員,產品經理,客服主管,產品企劃主管,金融營業人員,電話客服人員,廣告設計,售票／收銀人員
,健身諮詢專員(World Gym東港店),國內業務人員,產品企劃人員,電話行銷人員,,,神秘客,門市／店員／專櫃人員,產品經理,客服主管,金融營業人員,產品企劃主管,國內業務人員,電話客服人員,售票／收銀人員,行銷企劃人員,國內業務人員,神秘客,門市／店員／專櫃人員,產品經理,客服主管,金融營業人員,產品企劃主管,電話客服人員,售票／收銀人員,行銷企劃人員
,客服人員 (工作時間面議),客服人員,行政助理,電話行銷人員,,,資材人員,生管／助理,文字客服,業務助理,國貿人員,電話客服人員,採購助理,國貿助理,神秘客,客服人員,客服人員,資材人員,生管／助理,文字客服,業務助理,國貿人員,電話客服人員,採購助理,國貿助理,神秘客
,健身諮詢專員(World Gym台北民生圓環店),國內業務人員,產品企劃人員,電話行銷人員,,,門市／店員／專櫃人員,神秘客,產品經理,客服主管,金融營業人員,儲備幹部,國內業務人員,售票／收銀人員,產品企劃主管,調酒師／吧台人員,國內業務人員,門市／店員／專櫃人員,神秘客,產品經理,客服主管,金融營業人員,儲備幹部,售票／收銀人員,產品企劃主管,調酒師／吧台人員
,健身諮詢專員(World Gym新北蘆洲店),國內業務人員,產品企劃人員,電話行銷人員,,,神秘客,門市／店員／專櫃人員,產品經理,客服主管,產品企劃主管,電話客服人員,國內業務人員,金融營業人員,售票／收銀人員,行銷企劃人員,國內業務人員,神秘客,門市／店員／專櫃人員,產品經理,客服主管,產品企劃主管,電話客服人員,金融營業人員,售票／收銀人員,行銷企劃人員
,健身諮詢專員(World Gym台北天母店),國內業務人員,產品企劃人員,電話行銷人員,,,神秘客,門市／店員／專櫃人員,產品經理,客服主管,售票／收銀人員,國內業務人員,電話客服人員,金融營業人員,產品企劃主管,廣告設計,國內業務人員,神秘客,門市／店員／專櫃人員,產品經理,客服主管,售票／收銀人員,電話客服人員,金融營業人員,產品企劃主管,廣告設計
,健身諮詢專員(World Gym台北天母德行店),國內業務人員,產品企劃人員,電話行銷人員,,,門市／店員／專櫃人員,神秘客,產品經理,客服主管,產品企劃主管,售票／收銀人員,行銷企劃人員,金融營業人員,國內業務人員,儲備幹部,國內業務人員,門市／店員／專櫃人員,神秘客,產品經理,客服主管,產品企劃主管,售票／收銀人員,行銷企劃人員,金融營業人員,儲備幹部
,健身諮詢專員(World Gym台北內湖店),國內業務人員,產品企劃人員,電話行銷人員,,,神秘客,門市／店員／專櫃人員,產品經理,客服主管,產品企劃主管,金融營業人員,國內業務人員,售票／收銀人員,電話客服人員,儲備幹部,國內業務人員,神秘客,門市／店員／專櫃人員,產品經理,客服主管,產品企劃主管,金融營業人員,售票／收銀人員,電話客服人員,儲備幹部
,健身諮詢專員(World Gym員林店),國內業務人員,產品企劃人員,電話行銷人員,,,門市／店員／專櫃人員,神秘客,產品經理,客服主管,售票／收銀人員,金融營業人員,電話客服人員,產品企劃主管,廣告設計,國內業務人員,國內業務人員,門市／店員／專櫃人員,神秘客,產品經理,客服主管,售票／收銀人員,金融營業人員,電話客服人員,產品企劃主管,廣告設計
,健身諮詢專員(World Gym桃園台茂店),國內業務人員,產品企劃人員,電話行銷人員,,,神秘客,門市／店員／專櫃人員,產品經理,客服主管,售票／收銀人員,調酒師／吧台人員,產品企劃主管,廣告設計,國內業務人員,儲備幹部,國內業務人員,神秘客,門市／店員／專櫃人員,產品經理,客服主管,售票／收銀人員,調酒師／吧台人員,產品企劃主管,廣告設計,儲備幹部
,健身諮詢專員(World Gym台北地區),國內業務人員,產品企劃人員,電話行銷人員,,,神秘客,專業顧問,產品經理,客服主管,保險業務員／經紀人,國內業務人員,電話客服人員,廣告AE,客服人員,產品企劃主管,國內業務人員,神秘客,專業顧問,產品經理,客服主管,保險業務員／經紀人,電話客服人員,廣告AE,客服人員,產品企劃主管
,健身諮詢專員(World Gym桃竹苗地區),國內業務人員,產品企劃人員,電話行銷人員,,,神秘客,專業顧問,產品經理,客服主管,保險業務員／經紀人,國內業務人員,行銷企劃人員,產品企劃主管,電話客服人員,廣告AE,國內業務人員,神秘客,專業顧問,產品經理,客服主管,保險業務員／經紀人,行銷企劃人員,產品企劃主管,電話客服人員,廣告AE
,健身諮詢專員(World Gym中彰投地區),國內業務人員,產品企劃人員,電話行銷人員,,,神秘客,醫藥業務代表,專業顧問,產品經理,客服主管,電話客服人員,客服人員,保險業務員／經紀人,國內業務人員,廣告AE,國內業務人員,神秘客,醫藥業務代表,專業顧問,產品經理,客服主管,電話客服人員,客服人員,保險業務員／經紀人,廣告AE
,健身諮詢專員(World Gym新北地區),國內業務人員,產品企劃人員,電話行銷人員,,,神秘客,專業顧問,產品經理,客服主管,保險業務員／經紀人,電話客服人員,國內業務人員,客服人員,廣告AE,行銷企劃人員,國內業務人員,神秘客,專業顧問,產品經理,客服主管,保險業務員／經紀人,電話客服人員,客服人員,廣告AE,行銷企劃人員
,健身諮詢專員(World Gym屏東潮州店),國內業務人員,產品企劃人員,電話行銷人員,,,門市／店員／專櫃人員,神秘客,產品經理,客服主管,金融營業人員,產品企劃主管,售票／收銀人員,國內業務人員,電話客服人員,調酒師／吧台人員,國內業務人員,門市／店員／專櫃人員,神秘客,產品經理,客服主管,金融營業人員,產品企劃主管,售票／收銀人員,電話客服人員,調酒師／吧台人員
,健身諮詢專員(World Gym宜蘭羅東店),國內業務人員,產品企劃人員,電話行銷人員,,,神秘客,門市／店員／專櫃人員,產品經理,客服主管,金融營業人員,電話客服人員,國內業務人員,售票／收銀人員,產品企劃主管,廣告設計,國內業務人員,神秘客,門市／店員／專櫃人員,產品經理,客服主管,金融營業人員,電話客服人員,售票／收銀人員,產品企劃主管,廣告設計
,健身諮詢專員(World Gym花蓮國聯店),國內業務人員,產品企劃人員,電話行銷人員,,,神秘客,門市／店員／專櫃人員,產品經理,客服主管,產品企劃主管,國內業務人員,廣告設計,金融營業人員,電話客服人員,行銷企劃人員,國內業務人員,神秘客,門市／店員／專櫃人員,產品經理,客服主管,產品企劃主管,廣告設計,金融營業人員,電話客服人員,行銷企劃人員
,健身諮詢專員(World Gym台北南京店),國內業務人員,產品企劃人員,電話行銷人員,,,門市／店員／專櫃人員,神秘客,產品經理,客服主管,金融營業人員,國內業務人員,產品企劃主管,儲備幹部,售票／收銀人員,電話客服人員,國內業務人員,門市／店員／專櫃人員,神秘客,產品經理,客服主管,金融營業人員,產品企劃主管,儲備幹部,售票／收銀人員,電話客服人員
,健身諮詢專員(World Gym台北公館店),國內業務人員,產品企劃人員,電話行銷人員,,,門市／店員／專櫃人員,神秘客,產品經理,客服主管,金融營業人員,產品企劃主管,國內業務人員,售票／收銀人員,電話客服人員,儲備幹部,國內業務人員,門市／店員／專櫃人員,神秘客,產品經理,客服主管,金融營業人員,產品企劃主管,售票／收銀人員,電話客服人員,儲備幹部
,健身諮詢專員(World Gym台北大直店),國內業務人員,產品企劃人員,電話行銷人員,,,門市／店員／專櫃人員,神秘客,產品經理,客服主管,儲備幹部,國內業務人員,金融營業人員,產品企劃主管,售票／收銀人員,調酒師／吧台人員,國內業務人員,門市／店員／專櫃人員,神秘客,產品經理,客服主管,儲備幹部,金融營業人員,產品企劃主管,售票／收銀人員,調酒師／吧台人員
,健身諮詢專員(World Gym台北光復店),國內業務人員,產品企劃人員,電話行銷人員,,,門市／店員／專櫃人員,神秘客,產品經理,客服主管,金融營業人員,國內業務人員,產品企劃主管,電話客服人員,售票／收銀人員,儲備幹部,國內業務人員,門市／店員／專櫃人員,神秘客,產品經理,客服主管,金融營業人員,產品企劃主管,電話客服人員,售票／收銀人員,儲備幹部
,健身諮詢專員(World Gym台北民生店),國內業務人員,產品企劃人員,電話行銷人員,,,門市／店員／專櫃人員,神秘客,產品經理,客服主管,金融營業人員,儲備幹部,售票／收銀人員,調酒師／吧台人員,國內業務人員,產品企劃主管,國內業務人員,門市／店員／專櫃人員,神秘客,產品經理,客服主管,金融營業人員,儲備幹部,售票／收銀人員,調酒師／吧台人員,產品企劃主管
萬用填充項擠壓-跨領域(高信心),健身諮詢專員(World Gym台北麗水店),國內業務人員,產品企劃人員,電話行銷人員,,,門市／店員／專櫃人員,神秘客,產品經理,客服主管,調酒師／吧台人員,金融營業人員,電話客服人員,售票／收銀人員,產品企劃主管,國內業務人員,國內業務人員,門市／店員／專櫃人員,神秘客,產品經理,客服主管,調酒師／吧台人員,金融營業人員,電話客服人員,售票／收銀人員,產品企劃主管
,健身諮詢專員(World Gym台北民權西店),國內業務人員,產品企劃人員,電話行銷人員,,,門市／店員／專櫃人員,神秘客,產品經理,客服主管,金融營業人員,售票／收銀人員,產品企劃主管,國內業務人員,儲備幹部,ISO品保人員,國內業務人員,門市／店員／專櫃人員,神秘客,產品經理,客服主管,金融營業人員,售票／收銀人員,產品企劃主管,儲備幹部,ISO品保人員
,健身諮詢專員(World Gym鹿港店),國內業務人員,產品企劃人員,電話行銷人員,,,神秘客,門市／店員／專櫃人員,產品經理,客服主管,售票／收銀人員,金融營業人員,產品企劃主管,調酒師／吧台人員,電話客服人員,國內業務人員,國內業務人員,神秘客,門市／店員／專櫃人員,產品經理,客服主管,售票／收銀人員,金融營業人員,產品企劃主管,調酒師／吧台人員,電話客服人員
,健身諮詢專員(World Gym新竹中正店),國內業務人員,產品企劃人員,電話行銷人員,,,門市／店員／專櫃人員,神秘客,產品經理,客服主管,儲備幹部,售票／收銀人員,電話客服人員,國內業務人員,調酒師／吧台人員,客服人員,國內業務人員,門市／店員／專櫃人員,神秘客,產品經理,客服主管,儲備幹部,售票／收銀人員,電話客服人員,調酒師／吧台人員,客服人員
,健身諮詢專員(World Gym新竹竹蓮店),國內業務人員,產品企劃人員,電話行銷人員,,,神秘客,門市／店員／專櫃人員,產品經理,客服主管,電話客服人員,金融營業人員,國內業務人員,產品企劃主管,客服人員,廣告設計,國內業務人員,神秘客,門市／店員／專櫃人員,產品經理,客服主管,電話客服人員,金融營業人員,產品企劃主管,客服人員,廣告設計
,健身諮詢專員(World Gym竹北店),國內業務人員,產品企劃人員,電話行銷人員,,,神秘客,門市／店員／專櫃人員,產品經理,客服主管,金融營業人員,產品企劃主管,電話客服人員,國內業務人員,售票／收銀人員,廣告設計,國內業務人員,神秘客,門市／店員／專櫃人員,產品經理,客服主管,金融營業人員,產品企劃主管,電話客服人員,售票／收銀人員,廣告設計
,健身諮詢專員(World Gym苗栗竹南店),國內業務人員,產品企劃人員,電話行銷人員,,,神秘客,門市／店員／專櫃人員,產品經理,客服主管,金融營業人員,產品企劃主管,國內業務人員,售票／收銀人員,電話客服人員,廣告設計,國內業務人員,神秘客,門市／店員／專櫃人員,產品經理,客服主管,金融營業人員,產品企劃主管,售票／收銀人員,電話客服人員,廣告設計
,健身諮詢專員(World Gym苗栗苑裡店),國內業務人員,產品企劃人員,電話行銷人員,,,門市／店員／專櫃人員,神秘客,產品經理,客服主管,售票／收銀人員,金融營業人員,產品企劃主管,調酒師／吧台人員,廣告設計,國內業務人員,國內業務人員,門市／店員／專櫃人員,神秘客,產品經理,客服主管,售票／收銀人員,金融營業人員,產品企劃主管,調酒師／吧台人員,廣告設計
,健身諮詢專員(World Gym桃園復興店),國內業務人員,產品企劃人員,電話行銷人員,,,神秘客,門市／店員／專櫃人員,產品經理,客服主管,金融營業人員,產品企劃主管,國內業務人員,電話客服人員,售票／收銀人員,儲備幹部,國內業務人員,神秘客,門市／店員／專櫃人員,產品經理,客服主管,金融營業人員,產品企劃主管,電話客服人員,售票／收銀人員,儲備幹部
,健身諮詢專員(World Gym桃園大有店),國內業務人員,產品企劃人員,電話行銷人員,,,神秘客,門市／店員／專櫃人員,產品經理,客服主管,金融營業人員,國內業務人員,儲備幹部,產品企劃主管,電話客服人員,售票／收銀人員,國內業務人員,神秘客,門市／店員／專櫃人員,產品經理,客服主管,金融營業人員,儲備幹部,產品企劃主管,電話客服人員,售票／收銀人員
,房貸電話行銷業務 - 高獎金、自由安排時間,融資／信用業務人員,不動產經紀人／營業員,電話行銷人員,,,廣告AE,國外業務人員,國內業務人員,國貿人員,國外業務主管,保險業務員／經紀人,國內業務主管,票務人員／旅行社人員,融資／信用業務人員,報關人員,融資／信用業務人員,廣告AE,國外業務人員,國內業務人員,國貿人員,國外業務主管,保險業務員／經紀人,國內業務主管,票務人員／旅行社人員,報關人員
,課程業務｜完整新手培訓｜教育產業｜全職業務,國內業務人員,駐校代表,電話行銷人員,,,國外業務人員,國貿人員,國內業務主管,廣告AE,保險業務員／經紀人,國內業務人員,國外業務主管,報關人員,長照機構業務負責人,人力／外勞仲介,國內業務人員,國外業務人員,國貿人員,國內業務主管,廣告AE,保險業務員／經紀人,國外業務主管,報關人員,長照機構業務負責人,人力／外勞仲介
,管理部 行政人員(身心障礙保障名額),行政人員,行政助理,總務人員,,,行政主管,客服主管,檔案資料管理人員,資材人員,編採主管,文字客服,總務人員,行政人員,財務／會計主管,資料庫管理人員,總務人員,行政主管,客服主管,檔案資料管理人員,資材人員,編採主管,文字客服,行政人員,財務／會計主管,資料庫管理人員
,桃園市平鎮區化工廠 – 日、夜 機動保全人員。( 勤務簡單輕鬆坐哨 ),保全人員／警衛,管理員,,,,報關人員,PLC／自動控制工程師,水電工,資材人員,技術人員,電機技師／工程師,保全人員／警衛,電機設備裝配員,領班／管理幹部,工業設計,保全人員／警衛,報關人員,PLC／自動控制工程師,水電工,資材人員,技術人員,電機技師／工程師,電機設備裝配員,領班／管理幹部,工業設計
,北市信義區-基隆路二段商辦日/夜班安管員(工作24日)-月薪4.4萬(含勤勉獎金)另有三節獎金,保全人員／警衛,管理員,,,,資材主管,售票／收銀人員,資材人員,門市／店員／專櫃人員,房務人員,客服主管,倉管／物料管理員,金融營業人員,保全人員／警衛,旅遊休閒類主管,保全人員／警衛,資材主管,售票／收銀人員,資材人員,門市／店員／專櫃人員,房務人員,客服主管,倉管／物料管理員,金融營業人員,旅遊休閒類主管
,誠徵-(新竹橫山)廠辦日班保全,保全人員／警衛,管理員,,,,水電工,技術人員,電機技師／工程師,PLC／自動控制工程師,智慧製程工程師,電機設備裝配員,領班／管理幹部,保全人員／警衛,隨扈／安全人員,生管主管,保全人員／警衛,水電工,技術人員,電機技師／工程師,PLC／自動控制工程師,智慧製程工程師,電機設備裝配員,領班／管理幹部,隨扈／安全人員,生管主管
,115DD043-通訊系統整合工程師,通訊軟體工程師,電信／通訊系統工程師,,,,MES工程師,IC設計工程師,系統分析師,嵌入式工程師,IC佈局工程師,軟體工程師,通訊軟體工程師,PCB-Layout佈局工程師,ERP專案管理師,冷凍空調繪圖／設計,通訊軟體工程師,MES工程師,IC設計工程師,系統分析師,嵌入式工程師,IC佈局工程師,軟體工程師,PCB-Layout佈局工程師,ERP專案管理師,冷凍空調繪圖／設計
萬用填充項擠壓-跨領域(高信心),新竹市日夜班社區安管,保全人員／警衛,管理員,,,,休閒娛樂事業從業人員,售票／收銀人員,門市／店員／專櫃人員,資材主管,飯店／旅館服務人員,遊樂景點工作人員,保全人員／警衛,產品經理,店長／門市管理人員,專任管理員,保全人員／警衛,休閒娛樂事業從業人員,售票／收銀人員,門市／店員／專櫃人員,資材主管,飯店／旅館服務人員,遊樂景點工作人員,產品經理,店長／門市管理人員,專任管理員
,南港、內湖辦公大樓日夜保全,保全人員／警衛,管理員,,,,資材人員,客服主管,資料庫管理人員,國貿人員,報關人員,文字客服,保全人員／警衛,神秘客,PLC／自動控制工程師,房務人員,保全人員／警衛,資材人員,客服主管,資料庫管理人員,國貿人員,報關人員,文字客服,神秘客,PLC／自動控制工程師,房務人員
,【優利資源】【41K 工作穩定 / 無經驗可】派駐食藥署基隆港辦事處助理查驗員,行政助理,公家機關相關人員,,,,採購助理,生管／助理,電腦操作／資料輸入,秘書,國貿助理,行政人員,資訊助理人員,財務／會計助理,業務助理,行政助理,行政助理,採購助理,生管／助理,電腦操作／資料輸入,秘書,國貿助理,行政人員,資訊助理人員,財務／會計助理,業務助理
,國家太空中心-火箭計畫室-系統工程師,系統分析師,系統工程師,,,,IC佈局工程師,IC設計工程師,嵌入式工程師,軟體工程師,PCB-Layout佈局工程師,RF通訊工程師,韌體工程師,室內設計師,數位IC設計工程師,系統工程師,系統工程師,IC佈局工程師,IC設計工程師,嵌入式工程師,軟體工程師,PCB-Layout佈局工程師,RF通訊工程師,韌體工程師,室內設計師,數位IC設計工程師
,系統開發工程師,系統分析師,系統工程師,,,,IC設計工程師,韌體工程師,軟體工程師,軟／韌體測試工程師,嵌入式工程師,系統工程師,APP工程師,電腦硬體研發工程師,IC佈局工程師,硬體工程研發主管,系統工程師,IC設計工程師,韌體工程師,軟體工程師,軟／韌體測試工程師,嵌入式工程師,APP工程師,電腦硬體研發工程師,IC佈局工程師,硬體工程研發主管
,資訊設備維護人員 (RJA) (ID: 699330),資訊助理人員,資安工程師,,,,冷凍空調技術人員／安裝員,機械工程師,維修技術人員,電子設備維修人員,電機維修人員,產品設備維修人員,PLC／自動控制工程師,水電工程師,電信／配線繪圖,資安工程師,資安工程師,冷凍空調技術人員／安裝員,機械工程師,維修技術人員,電子設備維修人員,電機維修人員,產品設備維修人員,PLC／自動控制工程師,水電工程師,電信／配線繪圖
,電子工程師(新竹),電子工程師,電信／通訊系統工程師,,,,PLC／自動控制工程師,電機技師／工程師,水電工程師,電機設備裝配員,水電工,工業設計,智慧製程工程師,機構工程師,電機工程主管,電子工程師,電子工程師,PLC／自動控制工程師,電機技師／工程師,水電工程師,電機設備裝配員,水電工,工業設計,智慧製程工程師,機構工程師,電機工程主管
,天線系統設計工程師,RF通訊工程師,電信／通訊系統工程師,,,,IC設計工程師,軟體工程師,嵌入式工程師,系統工程師,IC佈局工程師,RF通訊工程師,電信／配線繪圖,通訊軟體工程師,韌體工程師,冷凍空調繪圖／設計,RF通訊工程師,IC設計工程師,軟體工程師,嵌入式工程師,系統工程師,IC佈局工程師,電信／配線繪圖,通訊軟體工程師,韌體工程師,冷凍空調繪圖／設計
,弱電工程師(無經驗可),弱電工程師,電信／通訊系統工程師,,,,水電工程師,BIOS工程師,PLC／自動控制工程師,嵌入式工程師,IC佈局工程師,工業設計,IC設計工程師,軟體工程師,弱電工程師,PCB-Layout佈局工程師,弱電工程師,水電工程師,BIOS工程師,PLC／自動控制工程師,嵌入式工程師,IC佈局工程師,工業設計,IC設計工程師,軟體工程師,PCB-Layout佈局工程師
,(高雄)弱電系統工程師(無經驗可),弱電工程師,電信／通訊系統工程師,,,,軟體工程師,IC設計工程師,嵌入式工程師,系統工程師,水電工程師,IC佈局工程師,PCB-Layout佈局工程師,冷凍空調繪圖／設計,建築繪圖／設計,弱電工程師,弱電工程師,軟體工程師,IC設計工程師,嵌入式工程師,系統工程師,水電工程師,IC佈局工程師,PCB-Layout佈局工程師,冷凍空調繪圖／設計,建築繪圖／設計
,工研院資通所_長距離無線通訊系統工程師(V402),軟體工程師,電信／通訊系統工程師,,,,韌體工程師,RF通訊工程師,嵌入式工程師,IC設計工程師,軟／韌體測試工程師,軟體工程師,數位IC設計工程師,IC佈局工程師,通訊軟體工程師,演算法開發工程師,軟體工程師,韌體工程師,RF通訊工程師,嵌入式工程師,IC設計工程師,軟／韌體測試工程師,數位IC設計工程師,IC佈局工程師,通訊軟體工程師,演算法開發工程師
萬用填充項擠壓-跨領域(高信心),台中市南屯區-中班保全,保全人員／警衛,管理員,,,,售票／收銀人員,調酒師／吧台人員,飯店／旅館服務人員,門市／店員／專櫃人員,休閒娛樂事業從業人員,保全人員／警衛,冷熱飲調製人員,餐飲主管,遊樂景點工作人員,資材人員,保全人員／警衛,售票／收銀人員,調酒師／吧台人員,飯店／旅館服務人員,門市／店員／專櫃人員,休閒娛樂事業從業人員,冷熱飲調製人員,餐飲主管,遊樂景點工作人員,資材人員
,新北駐大安區夜間機動駐警（急）,保全人員／警衛,管理員,,,,售票／收銀人員,資材人員,倉管／物料管理員,倉儲物流人員,遊樂景點工作人員,生管／助理,電話客服人員,神秘客,客服人員,保全人員／警衛,保全人員／警衛,售票／收銀人員,資材人員,倉管／物料管理員,倉儲物流人員,遊樂景點工作人員,生管／助理,電話客服人員,神秘客,客服人員
,Q05黑水特勤保全-桃園日班特勤保全幹部,保全人員／警衛,管理員,,,,隨扈／安全人員,品管／品保主管,儲備幹部,資材主管,飯店／旅館主管,稽核主管,稽核人員,保全人員／警衛,客服主管,核保／保險內勤人員,保全人員／警衛,隨扈／安全人員,品管／品保主管,儲備幹部,資材主管,飯店／旅館主管,稽核主管,稽核人員,客服主管,核保／保險內勤人員
,半導體設備售服工程師,FAE工程師,半導體工程師,,,,嵌入式工程師,IC設計工程師,軟體工程師,PCB-Layout佈局工程師,數位IC設計工程師,半導體設備工程師,建築繪圖／設計,韌體工程師,FAE工程師,系統工程師,FAE工程師,嵌入式工程師,IC設計工程師,軟體工程師,PCB-Layout佈局工程師,數位IC設計工程師,半導體設備工程師,建築繪圖／設計,韌體工程師,系統工程師
萬用填充項擠壓-跨領域(高信心),【新店區】【夜班-做3休1】社區安管,保全人員／警衛,管理員,,,,售票／收銀人員,門市／店員／專櫃人員,資材主管,休閒娛樂事業從業人員,飯店／旅館服務人員,資材人員,遊樂景點工作人員,保全人員／警衛,冷熱飲調製人員,調酒師／吧台人員,保全人員／警衛,售票／收銀人員,門市／店員／專櫃人員,資材主管,休閒娛樂事業從業人員,飯店／旅館服務人員,資材人員,遊樂景點工作人員,冷熱飲調製人員,調酒師／吧台人員
,事業一部【板橋.土城.新莊地區】晚班機動保全(PT),保全人員／警衛,管理員,,,,隨扈／安全人員,旅遊休閒類主管,客服主管,資材人員,資材主管,公關企劃人員,儲備幹部,平面設計,PLC／自動控制工程師,保全人員／警衛,保全人員／警衛,隨扈／安全人員,旅遊休閒類主管,客服主管,資材人員,資材主管,公關企劃人員,儲備幹部,平面設計,PLC／自動控制工程師
,汐止廠辦大樓急徵夜班保全,保全人員／警衛,管理員,,,,水電工,領班／管理幹部,PLC／自動控制工程師,技術人員,土木技師,保全人員／警衛,電機技師／工程師,電機設備裝配員,智慧製程工程師,電子設備維修人員,保全人員／警衛,水電工,領班／管理幹部,PLC／自動控制工程師,技術人員,土木技師,電機技師／工程師,電機設備裝配員,智慧製程工程師,電子設備維修人員
,【技術中心】先進封裝工程師(Advanced Assy Eng ),IC封裝／測試工程師,半導體工程師,,,,電機設備裝配員,電機技師／工程師,機械加工技術人員,模具技術人員,實驗／化驗人員,半導體製程工程師,技術人員,半導體工程師,電器產品維修人員,IC封裝／測試工程師,半導體工程師,電機設備裝配員,電機技師／工程師,機械加工技術人員,模具技術人員,實驗／化驗人員,半導體製程工程師,技術人員,電器產品維修人員,IC封裝／測試工程師
,🎛️后里美商科技廠🎛️久任獎金最高13萬🎊轉正率高🎊,技術人員,光電／半導體工程助理,,,,CNC車床人員,電機技師／工程師,電鍍相關技術人員,電機設備裝配員,機械加工技術人員,機械操作人員,技術人員,模具技術人員,塑膠押出技術人員,PLC／自動控制工程師,技術人員,CNC車床人員,電機技師／工程師,電鍍相關技術人員,電機設備裝配員,機械加工技術人員,機械操作人員,模具技術人員,塑膠押出技術人員,PLC／自動控制工程師
,【HPE高電壓產品】新產品導入機構工程師,機構工程師,熱傳工程師,,,,BIOS工程師,工業設計,PCB-Layout佈局工程師,IC佈局工程師,產品管理師,PLC／自動控制工程師,機構工程師,測試工程師,零組件工程師,水電工程師,機構工程師,BIOS工程師,工業設計,PCB-Layout佈局工程師,IC佈局工程師,產品管理師,PLC／自動控制工程師,測試工程師,零組件工程師,水電工程師
,【五股】熱流工程師_CDU(無經驗可),機構工程師,熱傳工程師,,,,BIOS工程師,RF通訊工程師,韌體工程師,軟／韌體測試工程師,IC佈局工程師,可靠度工程師,測試工程師,熱傳工程師,零組件工程師,電子工程師,熱傳工程師,BIOS工程師,RF通訊工程師,韌體工程師,軟／韌體測試工程師,IC佈局工程師,可靠度工程師,測試工程師,零組件工程師,電子工程師
,新北市南山高級中學 「學務創新人員」甄選,學校行政人員,管理員,,,,留學諮詢顧問,資材人員,神秘客,空服人員,平面設計,學校行政人員,報關人員,CAD／CAM工程師,機械設計／繪圖人員,服裝設計,學校行政人員,留學諮詢顧問,資材人員,神秘客,空服人員,平面設計,報關人員,CAD／CAM工程師,機械設計／繪圖人員,服裝設計
,【內湖區】夜班安管員,保全人員／警衛,管理員,,,,資材主管,售票／收銀人員,資材人員,休閒娛樂事業從業人員,水電工,倉管／物料管理員,房務人員,保全人員／警衛,遊樂景點工作人員,門市／店員／專櫃人員,保全人員／警衛,資材主管,售票／收銀人員,資材人員,休閒娛樂事業從業人員,水電工,倉管／物料管理員,房務人員,遊樂景點工作人員,門市／店員／專櫃人員
,輪班工廠保全(岡山區)–本工路,保全人員／警衛,管理員,,,,水電工,隨扈／安全人員,電機技師／工程師,電機設備裝配員,保全工程技術人員,技術人員,保全人員／警衛,領班／管理幹部,電器產品維修人員,電子設備維修人員,保全人員／警衛,水電工,隨扈／安全人員,電機技師／工程師,電機設備裝配員,保全工程技術人員,技術人員,領班／管理幹部,電器產品維修人員,電子設備維修人員
萬用填充項擠壓-跨領域(高信心),新竹市日班/夜班社區安管員,保全人員／警衛,管理員,,,,門市／店員／專櫃人員,休閒娛樂事業從業人員,售票／收銀人員,資材主管,飯店／旅館服務人員,遊樂景點工作人員,店長／門市管理人員,產品經理,保全人員／警衛,ISO品保人員,保全人員／警衛,門市／店員／專櫃人員,休閒娛樂事業從業人員,售票／收銀人員,資材主管,飯店／旅館服務人員,遊樂景點工作人員,店長／門市管理人員,產品經理,ISO品保人員
,J【信義區百貨:日班保全股長】SOGO大巨蛋商場，薪49000元以上/24天(含津貼)鄰近國父紀念館5號出口,保全人員／警衛,管理員,,,,店長／門市管理人員,儲備幹部,資材主管,ISO品保人員,金融營業人員,品管／品保主管,資材人員,門市／店員／專櫃人員,調酒師／吧台人員,保全人員／警衛,保全人員／警衛,店長／門市管理人員,儲備幹部,資材主管,ISO品保人員,金融營業人員,品管／品保主管,資材人員,門市／店員／專櫃人員,調酒師／吧台人員
,台北市南港區夜班社區安管(小社區),保全人員／警衛,管理員,,,,售票／收銀人員,休閒娛樂事業從業人員,門市／店員／專櫃人員,資材主管,遊樂景點工作人員,產品經理,ISO品保人員,飯店／旅館服務人員,保全人員／警衛,客服主管,保全人員／警衛,售票／收銀人員,休閒娛樂事業從業人員,門市／店員／專櫃人員,資材主管,遊樂景點工作人員,產品經理,ISO品保人員,飯店／旅館服務人員,客服主管
萬用填充項擠壓-跨領域(高信心),"R【夜班保全】松山區敦化北路：社區，薪48,000/24天，近小巨蛋站",保全人員／警衛,管理員,,,,售票／收銀人員,資材主管,ISO品保人員,門市／店員／專櫃人員,調酒師／吧台人員,遊樂景點工作人員,品管／品保主管,房務人員,加油服務,保全人員／警衛,保全人員／警衛,售票／收銀人員,資材主管,ISO品保人員,門市／店員／專櫃人員,調酒師／吧台人員,遊樂景點工作人員,品管／品保主管,房務人員,加油服務
