# 推薦模型訓練回饋：每筆案例的負面推薦（模型目前推錯的前5項）與正向推薦（應推薦的正確職類與順序）。優化緣由：推薦項目命中率改善＝原本完全沒命中需救回；順序調整＝有推到但排在第6~10名需調進前5。正向推薦來源為廠商實際送出職類，不足5項即留白（不補值）。
職缺名稱,負面推薦1,負面推薦2,負面推薦3,負面推薦4,負面推薦5,正向推薦1,正向推薦2,正向推薦3,正向推薦4,正向推薦5,優化緣由
飲料店徵才門市服務人員(新北市五股區),餐飲服務人員,樓面管理人員,店長／門市管理人員,儲備幹部,門市／店員／專櫃人員,冷熱飲調製人員,,,,,推薦項目命中率改善
高雄市【苓雅區】早班組長,基層管理幹部,保全人員／警衛,管理員,志願役軍官／士官／士兵,隨扈／特勤,冷熱飲調製人員,,,,,推薦項目命中率改善
早班計時人員,工讀生,餐飲服務人員,飯店／旅館工作人員,餐飲領班,安親／課輔老師,冷熱飲調製人員,,,,,推薦項目命中率改善
假日工讀生 晚班正職人員,餐飲服務人員,工讀生,餐飲領班,飯店／旅館工作人員,洗碗人員,冷熱飲調製人員,,,,,推薦項目命中率改善
燕巢區(籌備中)紅茶幫-晚班工讀（長時數）,工讀生,餐飲服務人員,加油服務,飯店／旅館工作人員,安親／課輔老師,冷熱飲調製人員,,,,,推薦項目命中率改善
燕巢區(籌備中)紅茶幫-早班工讀（長時數）,工讀生,餐飲服務人員,加油服務,飯店／旅館工作人員,補習班招生人員,冷熱飲調製人員,,,,,推薦項目命中率改善
燕巢區(籌備中)紅茶幫-中班工讀（長時數）,工讀生,餐飲服務人員,飯店／旅館工作人員,加油服務,外送人員,冷熱飲調製人員,,,,,推薦項目命中率改善
顏家紅茶冰 華西街夜市,飯店／旅館工作人員,餐飲服務人員,餐飲主管,總機／接待／櫃檯人員,餐飲領班,冷熱飲調製人員,,,,,推薦項目命中率改善
顏家紅茶冰 正職人員,餐飲服務人員,日式廚師,餐飲領班,生鮮處理人員,中／港式點心廚師,冷熱飲調製人員,,,,,推薦項目命中率改善
備料人員,實驗／化驗人員,包裝員／作業員,染印人員,技術人員,食品研發人員,生鮮處理人員,,,,,推薦項目命中率改善
大同店＿賣場陳列員,樓面管理人員,櫥窗／會場設計人員,儲備幹部,門市／店員／專櫃人員,店長／門市管理人員,生鮮處理人員,,,,,推薦項目命中率改善
五股DC廠-作業員,包裝員／作業員,製鞋類人員,PCB技術人員,染印人員,傳統車床人員,生鮮處理人員,,,,,推薦項目命中率改善
✅八里區✅知名食品公司✅早晚班任選✅周休二日不加班✅可日週領✅需耐久站/協EQ,清潔／資源回收人員,包裝員／作業員,檢驗人員,隨車人員,搬運人員,生鮮處理人員,,,,,推薦項目命中率改善
白領 - 歡迎各國人士應徵【食品工廠】HỖ TRỢ LÀM GIẤY TỜ ĐI LÀM -土城/高雄市,餐飲領班,餐飲主管,儲備幹部,餐飲服務人員,店長／門市管理人員,生鮮處理人員,,,,,推薦項目命中率改善
HN/湖口【出貨包裝貼標員】有冷氣/週休二日,包裝員／作業員,理貨人員,染印人員,倉儲物流人員,檢驗人員,生鮮處理人員,,,,,推薦項目命中率改善
雜料處理人員,理貨人員,包裝員／作業員,染印人員,食品研發人員,實驗／化驗人員,生鮮處理人員,,,,,推薦項目命中率改善
【桃園/大溪】廠區清潔人員,建築物清潔人員,清潔／資源回收人員,房務人員,衣物整燙人員,家事服務／洗衣整燙,生鮮處理人員,,,,,推薦項目命中率改善
中央廚房專職人員,中式廚師,其他料理廚師,日式廚師,中／港式點心廚師,餐廚助手,生鮮處理人員,,,,,推薦項目命中率改善
大夜班魚貨理貨人員,休閒娛樂從業人員,總機／接待／櫃檯人員,售票／收銀人員,救生員,水產養殖人員,生鮮處理人員,,,,,推薦項目命中率改善
【路竹 冷藏倉穩定職缺】分貨人員  倉管人員  生鮮食品廠 -可預支/ 排休 AO,倉管／物料管理員,理貨人員,倉儲物流人員,資材人員,廠務助理,生鮮處理人員,,,,,推薦項目命中率改善
新市最夯💰44K｜掃條碼📦｜貼標籤🧾｜固定班別｜工作超簡單｜周休二日♦️HH,包裝員／作業員,製鞋類人員,堆高機操作人員,染印人員,拋光／研磨技術人員,生鮮處理人員,,,,,推薦項目命中率改善
外場晚班計時人員起薪206-230【明華店】,餐飲服務人員,飯店／旅館工作人員,工讀生,餐飲領班,餐飲主管,餐廚助手,,,,,推薦項目命中率改善
豐米便當-中興店 外場晚班,餐飲服務人員,飯店／旅館工作人員,餐飲領班,餐飲主管,工讀生,餐廚助手,,,,,推薦項目命中率改善
豐米便當-中興店 外場早班,餐飲服務人員,飯店／旅館工作人員,餐飲領班,餐飲主管,工讀生,餐廚助手,,,,,推薦項目命中率改善
豐米便當-中興店 外場全職,餐飲服務人員,飯店／旅館工作人員,餐飲主管,餐飲領班,儲備幹部,餐廚助手,,,,,推薦項目命中率改善
洗水塔 (熟手),防水施工人員,營建工程人員,水電工,模板工程人員,營造工程師,家事服務／洗衣,,,,,推薦項目命中率改善
家事管理員-萬華區,家事服務／洗衣整燙,衣物整燙人員,照顧實務指導員,洗碗人員,房務人員,家事服務／洗衣,,,,,推薦項目命中率改善
家事管理員-北投區,家事服務／洗衣整燙,衣物整燙人員,照顧實務指導員,洗碗人員,房務人員,家事服務／洗衣,,,,,推薦項目命中率改善
家事管理員-大同區,家事服務／洗衣整燙,衣物整燙人員,照顧實務指導員,洗碗人員,房務人員,家事服務／洗衣,,,,,推薦項目命中率改善
清潔人員,清潔／資源回收人員,建築物清潔人員,房務人員,汽車美容,衣物整燙人員,家事服務／洗衣,,,,,推薦項目命中率改善
中班工作夥伴,餐飲服務人員,日式廚師,生鮮處理人員,洗碗人員,餐飲領班,加油服務,,,,,推薦項目命中率改善
中班工作夥伴,餐飲服務人員,日式廚師,生鮮處理人員,洗碗人員,餐飲領班,加油服務,,,,,推薦項目命中率改善
月薪人員上班時間早上10點到晚上6點或早上10點半到晚上6點半,學徒,牙體技術人員,工讀生,中／港式點心廚師,餐廚助手,加油服務,,,,,推薦項目命中率改善
(六福村)洗衣員,衣物整燙人員,家事服務／洗衣整燙,照顧實務指導員,洗碗人員,美容助理,家事服務／洗衣,,,,,推薦項目命中率改善
洗車站管理員,基層管理幹部,管理員,醫院行政管理人員,公家機關相關人員,美容助理,汽車美容,,,,,推薦項目命中率改善
家事好管家-中山國中,家事服務／洗衣整燙,衣物整燙人員,照顧實務指導員,房務人員,洗碗人員,家事服務／洗衣,,,,,推薦項目命中率改善
★我家牛排同盟店★內場洗滌晚班兼職人員★時薪205起,餐廚助手,中／港式點心廚師,中式麵點人員／師傅,西點蛋糕師,餐飲服務人員,洗碗人員,,,,,推薦項目命中率改善
E5咖啡訓練師,美容講師／技導,物理治療師,儲備幹部,推拿／按摩師,舞蹈健身老師,咖啡師,,,,,推薦項目命中率改善
G03咖啡訓練師,美容講師／技導,物理治療師,儲備幹部,推拿／按摩師,餐飲主管,咖啡師,,,,,推薦項目命中率改善
E11咖啡訓練師,物理治療師,美容講師／技導,推拿／按摩師,儲備幹部,舞蹈健身老師,咖啡師,,,,,推薦項目命中率改善
A29咖啡訓練師,物理治療師,美容講師／技導,推拿／按摩師,舞蹈健身老師,儲備幹部,咖啡師,,,,,推薦項目命中率改善
G5咖啡訓練師,儲備幹部,美容講師／技導,餐飲主管,物理治療師,舞蹈健身老師,咖啡師,,,,,推薦項目命中率改善
A05咖啡訓練師,美容講師／技導,物理治療師,儲備幹部,推拿／按摩師,餐飲主管,咖啡師,,,,,推薦項目命中率改善
【日商零售業】修繕維護擔當 (RJA) (ID: 613238),都市／交通規劃人員,產品設備維修人員,發包人員,維修技術主管,營建主管,維修技術人員,,,,,推薦項目命中率改善
營業專員,不動產／商場開發人員,代書／地政士,土地開發人員,不動產審核／估價師,加盟／招商人員,國內業務人員,,,,,推薦項目命中率改善
房屋租賃業務人員,不動產／商場開發人員,不動產經紀人／營業員,不動產審核／估價師,土地開發人員,代書／地政士,國內業務人員,,,,,推薦項目命中率改善
歡迎加入★☆住商天母士東店☆★─誠徵不動產仲介業務菁英,不動產經紀人／營業員,不動產／商場開發人員,不動產審核／估價師,土地開發人員,加盟／招商人員,國內業務人員,,,,,推薦項目命中率改善
業務人員 / 資深業務 (A),不動產／商場開發人員,不動產審核／估價師,土地開發人員,代書／地政士,不動產經紀人／營業員,國內業務人員,,,,,推薦項目命中率改善
宜蘭業務人員,不動產／商場開發人員,不動產審核／估價師,代書／地政士,土地開發人員,不動產經紀人／營業員,國內業務人員,,,,,推薦項目命中率改善
業務銷售人員(桃園分公司),承銷人員,金融營業人員,理財專員,保險業務員／經紀人,金融研究人員,國內業務人員,,,,,推薦項目命中率改善
消防設備業務人員(台北)(台中)(消防營業),消防專業人員,消防繪圖人員,消防類相關人員,弱電工程師,都市／交通規劃人員,國內業務人員,,,,,推薦項目命中率改善
～業務人員～,不動產／商場開發人員,不動產審核／估價師,代書／地政士,土地開發人員,不動產經紀人／營業員,國內業務人員,,,,,推薦項目命中率改善
業務專員,不動產／商場開發人員,代書／地政士,不動產審核／估價師,土地開發人員,不動產經紀人／營業員,國內業務人員,,,,,推薦項目命中率改善
(盛弘)國人健檢中心-業務專員,醫藥業務代表,專科護理師,醫院行政管理人員,護理長,護理師,國內業務人員,,,,,推薦項目命中率改善
(盛弘)為恭健康中心業務專員,專科護理師,醫藥業務代表,護理師,護理長,醫院行政管理人員,國內業務人員,,,,,推薦項目命中率改善
業務專員,不動產／商場開發人員,代書／地政士,不動產審核／估價師,土地開發人員,不動產經紀人／營業員,國內業務人員,,,,,推薦項目命中率改善
兼職開發不動產業務,不動產／商場開發人員,不動產審核／估價師,不動產經紀人／營業員,土地開發人員,代書／地政士,國內業務人員,,,,,推薦項目命中率改善
業務開發專員,不動產／商場開發人員,土地開發人員,不動產審核／估價師,代書／地政士,發包人員,國內業務人員,,,,,推薦項目命中率改善
招募~【不動產同業菁英】 ，★百萬舞台等你發展★,不動產經紀人／營業員,不動產／商場開發人員,不動產審核／估價師,土地開發人員,代書／地政士,國內業務人員,,,,,推薦項目命中率改善
業務人員 (底薪+高獎金),不動產／商場開發人員,不動產審核／估價師,不動產經紀人／營業員,土地開發人員,代書／地政士,國內業務人員,,,,,推薦項目命中率改善
◎市議員助理◎,電腦操作／資料輸入,行銷企劃助理,秘書,行政人員,財務／會計助理,行政助理,業務助理,政治相關研究人員,市場調查／分析人員,特別助理,順序調整
場務,房務人員,遊樂景點工作人員,售票／收銀人員,資材人員,神秘客,保全人員／警衛,管理員,門市／店員／專櫃人員,儲備幹部,基層管理幹部,順序調整
挪威森林(新店館)儲備幹部/輪班主任9H月休八天**請親洽面試,品管／品保主管,調酒師／吧台人員,樓面管理人員,智慧製程工程師,資材主管,飯店／旅館主管,旅遊休閒類主管,店長／門市管理人員,儲備幹部,基層管理幹部,順序調整
牙醫助理,牙醫師,牙體技術人員,其他醫療從業人員,護理師,醫事檢驗師,牙醫助理,診所助理,醫院行政管理人員,行政助理,總機／接待／櫃檯人員,順序調整
(找合作)國際進口產品專業人員,神秘客,客服工程師,國外業務人員,工業設計,資材人員,報關人員,保稅人員,空運／船務,國貿助理,國貿人員,順序調整
📢合作專業經理人,保險業務員／經紀人,國外業務人員,國內業務人員,廣告AE,產品企劃主管,專案經理,專案管理主管,專案業務主管,其他專案管理師,國內業務主管,順序調整
美編設計人員【連鎖加盟總部 擴大徵才】,平面設計,設計主管,建築繪圖／設計,軟體專案主管,CAD／CAM工程師,美編人員,廣告設計,行政助理,倉管／物料管理員,行政人員,順序調整
🎵 卡比音樂工作室｜儲備幹部招募（士林）.*.*.,調酒師／吧台人員,店長／門市管理人員,品管／品保主管,餐飲主管,侍酒師,總機／接待／櫃檯人員,編輯／文字類人員,儲備幹部,基層管理幹部,行政人員,順序調整
🎵 卡比音樂工作室｜儲備幹部招募（士林）**..––-,調酒師／吧台人員,店長／門市管理人員,品管／品保主管,餐飲主管,侍酒師,總機／接待／櫃檯人員,編輯／文字類人員,儲備幹部,基層管理幹部,行政人員,順序調整
🎵 卡比音樂工作室｜儲備幹部招募（士林）**.,調酒師／吧台人員,店長／門市管理人員,品管／品保主管,餐飲主管,侍酒師,總機／接待／櫃檯人員,編輯／文字類人員,儲備幹部,基層管理幹部,行政人員,順序調整
🎵 卡比音樂工作室｜儲備幹部招募（士林）**,調酒師／吧台人員,店長／門市管理人員,品管／品保主管,餐飲主管,侍酒師,總機／接待／櫃檯人員,編輯／文字類人員,儲備幹部,基層管理幹部,行政人員,順序調整
🎵 卡比音樂工作室｜儲備幹部招募（士林）**..,調酒師／吧台人員,店長／門市管理人員,品管／品保主管,餐飲主管,侍酒師,總機／接待／櫃檯人員,編輯／文字類人員,儲備幹部,基層管理幹部,行政人員,順序調整
🎵 卡比音樂工作室｜儲備幹部招募（士林）.**,調酒師／吧台人員,店長／門市管理人員,品管／品保主管,餐飲主管,侍酒師,總機／接待／櫃檯人員,編輯／文字類人員,儲備幹部,基層管理幹部,行政人員,順序調整
🎵 卡比音樂工作室｜儲備幹部招募（士林）.**.,調酒師／吧台人員,店長／門市管理人員,品管／品保主管,餐飲主管,侍酒師,總機／接待／櫃檯人員,編輯／文字類人員,儲備幹部,基層管理幹部,行政人員,順序調整
🎵 卡比音樂工作室｜儲備幹部招募（士林）*。,調酒師／吧台人員,店長／門市管理人員,餐飲主管,品管／品保主管,侍酒師,總機／接待／櫃檯人員,編輯／文字類人員,儲備幹部,基層管理幹部,行政人員,順序調整
🎵 卡比音樂工作室｜儲備幹部招募（士林）*,調酒師／吧台人員,店長／門市管理人員,餐飲主管,品管／品保主管,侍酒師,總機／接待／櫃檯人員,編輯／文字類人員,儲備幹部,基層管理幹部,行政人員,順序調整
🎵 卡比音樂工作室｜儲備幹部招募（士林）**..-,調酒師／吧台人員,店長／門市管理人員,品管／品保主管,餐飲主管,侍酒師,總機／接待／櫃檯人員,編輯／文字類人員,儲備幹部,基層管理幹部,行政人員,順序調整
🎵 卡比音樂工作室｜儲備幹部招募（士林）**..&ndash;&ndash;,調酒師／吧台人員,品管／品保主管,店長／門市管理人員,侍酒師,餐飲主管,總機／接待／櫃檯人員,編輯／文字類人員,儲備幹部,基層管理幹部,行政人員,順序調整
外場服務人員,飯店／旅館服務人員,門市／店員／專櫃人員,調酒師／吧台人員,遊樂景點工作人員,房務人員,餐飲服務人員,餐廚助手,生鮮處理人員,冷熱飲調製人員,工讀生,順序調整
人資助理/專員,人事助理,資訊助理人員,生管／助理,媒體公關人員,執行製作／助理,人事／人力資源專員,會計／出納／記帳人員,行政人員,行政助理,電腦操作／資料輸入,順序調整
【薪資31000起(未含加班費.國定假日.獎金)，請電洽】行政內勤人員,內勤業務,客服人員,行政助理,電話客服人員,廣告文案企劃人員,行政人員,財務／會計助理,業務助理,電腦操作／資料輸入,總機／接待／櫃檯人員,順序調整
★台中公益館-活動指導專員,活動企劃人員,公關企劃人員,傳播媒體編輯企劃,導演／導播,導遊／領隊／導覽,休閒娛樂事業從業人員,門市／店員／專櫃人員,遊樂景點工作人員,飯店／旅館服務人員,總機／接待／櫃檯人員,順序調整
鐘點計時人員｜歡迎電洽0918237522 / 05-2601668 蔡小姐,冷熱飲調製人員,洗碗人員,調酒師／吧台人員,餐廚助手,外送人員,工讀生,餐飲服務人員,門市／店員／專櫃人員,售票／收銀人員,總機／接待／櫃檯人員,順序調整
派駐國外、管理幹部,儲備幹部,資材主管,電機工程主管,客服主管,產品經理,經營管理主管,國外業務主管,工廠高階主管,採購主管,財務／會計主管,順序調整
OA事務商品維護工程師(無經驗薪$39000),DevOps工程師,韌體工程師,IC設計工程師,FAE工程師,嵌入式工程師,電子設備維修人員,電器產品維修人員,通信維修人員,電子工程師,客服工程師,順序調整
(午班)電訪客服人員(13:30~17:30),國貿人員,文字客服,國貿助理,業務助理,採購助理,客服人員,電話行銷人員,電訪人員,電話客服人員,客服工程師,順序調整
南台中商化專員（全聯通路）,廣告設計,商化人員,文字記者,資材人員,神秘客,通路開發人員,國內業務人員,門市／店員／專櫃人員,業務助理,店長／門市管理人員,順序調整
業務助理/美編/設計/網路/行銷,國貿助理,業務助理,秘書,採購助理,活動企劃人員,美編人員,客服人員,社群經營人員,行銷企劃人員,行政人員,順序調整
🏢【工務助理／內業文書助理】,內勤業務,行政助理,業務助理,國貿助理,秘書,工務助理,內業工程人員,估算人員,電腦操作／資料輸入,行政人員,順序調整
樹木巡查及文書資料處理(意者請洽0906-360-108李小姐),電腦操作／資料輸入,秘書,行政人員,財務／會計助理,排版人員,檔案資料管理人員,農藝栽培專業人員,花藝／園藝人員,業務助理,行政助理,順序調整
直播小幫手(兼職),媒體公關人員,行銷企劃助理,執行製作／助理,資訊助理人員,活動企劃人員,電腦操作／資料輸入,客服人員,工讀生,業務助理,行政助理,順序調整
電商客服人員～台北市萬華區,生管／助理,資材人員,文字客服,國貿人員,國貿助理,客服人員,電話客服人員,門市／店員／專櫃人員,業務助理,行政助理,順序調整
KEY單人員(意者請親洽或電話聯絡預約面試),資材人員,生管／助理,神秘客,倉管／物料管理員,倉儲物流人員,電腦操作／資料輸入,檔案資料管理人員,廠務,行政人員,行政助理,順序調整
北投-育苗W薇閣資優教室-國高中導師,國中教師,高中職教師,調酒師／吧台人員,冷熱飲調製人員,國小教師,補習班導師,升學補習班老師,語文補習班老師,行政人員,行政助理,順序調整
早安胖丸  儲備幹部,調酒師／吧台人員,品管／品保主管,店長／門市管理人員,門市／店員／專櫃人員,冷熱飲調製人員,中式廚師,餐飲領班,餐廚助手,餐飲服務人員,儲備幹部,順序調整
小豬很忙蔬果滷味-儲備幹部(逢甲店),調酒師／吧台人員,品管／品保主管,門市／店員／專櫃人員,店長／門市管理人員,售票／收銀人員,餐飲服務人員,生鮮處理人員,其他料理廚師,餐廚助手,儲備幹部,順序調整
引擎半技師,放電加工技術人員,CNC車床人員,電機技師／工程師,汽車檢驗員,電機設備裝配員,汽車維修人員,汽車引擎技術人員,技術人員,其他車輛維修人員,儲備幹部,順序調整
現場儲備幹部,資材主管,智慧製程工程師,資材人員,生管主管,PLC／自動控制工程師,包裝員／作業員,機械操作人員,基層管理幹部,生產線工程師,儲備幹部,順序調整
中班計時人員(工讀兼職計時皆可),冷熱飲調製人員,飯店／旅館服務人員,調酒師／吧台人員,門市／店員／專櫃人員,外送人員,餐飲服務人員,餐廚助手,生鮮處理人員,洗碗人員,工讀生,順序調整
官東燒肉食堂-外場計時人員,調酒師／吧台人員,冷熱飲調製人員,侍酒師,飯店／旅館服務人員,門市／店員／專櫃人員,餐飲服務人員,餐廚助手,日式廚師,其他料理廚師,工讀生,順序調整
🔥助理(休紅字👍彈性上下班👍薪32000~38000),採購助理,電腦操作／資料輸入,資訊助理人員,行銷企劃助理,人事助理,特別助理,行政助理,行政人員,總務人員,財務／會計助理,順序調整
編輯人員(瑞穗有機生態農場),資材人員,生管／助理,影片製作技術人員,大圖輸出後製人員,資料庫管理人員,編輯／文字類人員,教材編輯人員,校對人員,技術文件／說明書編譯,電腦操作／資料輸入,順序調整
(鳳山)法拍撤回業務專員,國外業務人員,廣告AE,國貿人員,報關人員,空運／船務,國內業務人員,融資／信用業務人員,不動產審核／估價師,授權／授信／徵信人員,財務分析／財務人員,順序調整
"✿信用卡電催專員(純內勤且保障底薪,高獎金,誠徵正職人員)",稽核人員,稽核主管,客服人員,電話客服人員,核保／保險內勤人員,帳款催收人員,電話行銷人員,國內業務人員,融資／信用業務人員,,順序調整
*葡萄酒美工企劃人員,門市／店員／專櫃人員,調酒師／吧台人員,冷熱飲調製人員,侍酒師,售票／收銀人員,行銷企劃人員,活動企劃人員,平面設計,美編人員,廣告文案企劃人員,順序調整
【無經驗可】企劃助理,秘書,採購助理,國貿助理,業務助理,電腦操作／資料輸入,活動企劃人員,行銷企劃助理,行銷企劃人員,廣告文案企劃人員,市場調查／分析人員,順序調整
【台北市信義區】電信業-客戶開發暨維繫處管理師(行銷/分析/營運),客服主管,神秘客,國內業務人員,通路開發人員,資料庫管理人員,產品管理師,行銷企劃助理,行銷企劃人員,數位行銷人員,市場調查／分析人員,順序調整
系統維護工程師,IC設計工程師,電子設備維修人員,DevOps工程師,冷凍空調技術人員／安裝員,土木工程師,軟體工程師,網站程式設計師,系統工程師,資料庫管理人員,後端工程師,順序調整
楠梓徵正職技術員/封裝測試大廠/固定班/留任獎金10000元,汽車檢驗員,模具技術人員,電機設備裝配員,檢驗人員,電機技師／工程師,包裝員／作業員,組裝組立技術人員,PCB技術人員,技術人員,IC封裝／測試工程師,順序調整
太陽能板巡視檢查人員,電子設備維修人員,神秘客,燈光技術人員,電器產品維修人員,水電工程師,檢驗人員,工程助理,機電技師／工程師,電信／配線繪圖,光電工程師,順序調整
工地主任(龍潭),金屬建材架構人員,土木工程師,營建主管,工地主管／主任,結構技師／工程師,機電技師／工程師,水電工程師,冷凍空調繪圖／設計,專案經理,電機工程主管,順序調整
生產儲備幹部(大埔美廠),生管主管,智慧製程工程師,電機技師／工程師,電機設備裝配員,模具技術人員,技術人員,機械操作人員,機械加工技術人員,包裝員／作業員,領班／管理幹部,順序調整
倉管行政人員,資材人員,文字客服,國貿人員,生管／助理,資料庫管理人員,倉管／物料管理員,行政人員,電腦操作／資料輸入,檔案資料管理人員,行政助理,順序調整
現場儲備幹部,資材主管,智慧製程工程師,資材人員,生管主管,PLC／自動控制工程師,生管／助理,工廠高階主管,生產線工程師,機械操作人員,儲備幹部,順序調整
現場機械組立《儲備幹部》,電機設備裝配員,電機技師／工程師,電機工程主管,生管主管,模具技術人員,機械加工技術人員,組裝組立技術人員,技術人員,機械操作人員,儲備幹部,順序調整
台糖-柳營尖山埤渡假村房務主任,調酒師／吧台人員,品管／品保主管,侍酒師,儲備幹部,餐飲主管,飯店／旅館櫃檯人員,飯店／旅館主管,,,,順序調整
旅館訂房人員(孰悉OTA),票務人員／旅行社人員,神秘客,飯店／旅館服務人員,門市／店員／專櫃人員,房務人員,飯店／旅館櫃檯人員,飯店／旅館主管,,,,順序調整
280 東勢中正餐廳 服務員(兼職),調酒師／吧台人員,侍酒師,飯店／旅館服務人員,冷熱飲調製人員,門市／店員／專櫃人員,餐飲服務人員,餐廚助手,,,,順序調整
236 田中中正餐廳 服務員(兼職),調酒師／吧台人員,飯店／旅館服務人員,侍酒師,冷熱飲調製人員,門市／店員／專櫃人員,餐飲服務人員,餐廚助手,,,,順序調整
勝博殿外場假日計時服務員[台南西門店],調酒師／吧台人員,冷熱飲調製人員,侍酒師,飯店／旅館服務人員,洗碗人員,餐飲服務人員,餐廚助手,,,,順序調整
外場麵包台人員,調酒師／吧台人員,冷熱飲調製人員,侍酒師,門市／店員／專櫃人員,飯店／旅館服務人員,餐飲服務人員,餐廚助手,,,,順序調整
"月薪【38,000~43,000】欣欣百貨店【涮乃葉】日式火鍋 正職人員",調酒師／吧台人員,日式廚師,侍酒師,冷熱飲調製人員,門市／店員／專櫃人員,餐飲服務人員,餐廚助手,,,,順序調整
"月薪【38,000~43,000】統一時代市府店【涮乃葉】-營運正職人員",西式廚師,調酒師／吧台人員,侍酒師,門市／店員／專櫃人員,冷熱飲調製人員,餐飲服務人員,餐廚助手,,,,順序調整
"月薪【38,000~43,000】板橋遠百店【涮乃葉】日式火鍋 -營運正職人員",調酒師／吧台人員,侍酒師,門市／店員／專櫃人員,餐飲主管,日式廚師,餐飲服務人員,餐廚助手,,,,順序調整
"月薪【38,000~43,000】汐止遠雄店【涮乃葉】日式火鍋-營運正職人員",調酒師／吧台人員,侍酒師,門市／店員／專櫃人員,餐飲主管,日式廚師,餐飲服務人員,餐廚助手,,,,順序調整
46 新莊中正餐廳 服務員(兼職),調酒師／吧台人員,侍酒師,飯店／旅館服務人員,冷熱飲調製人員,門市／店員／專櫃人員,餐飲服務人員,餐廚助手,,,,順序調整
365 三重三和餐廳 服務員(兼職),調酒師／吧台人員,飯店／旅館服務人員,侍酒師,冷熱飲調製人員,門市／店員／專櫃人員,餐飲服務人員,餐廚助手,,,,順序調整
◆歡迎暑假打工族◆大寮上市櫃科技公司◆徵技術員,電機技師／工程師,電機設備裝配員,技術人員,水電工,智慧製程工程師,組裝組立技術人員,包裝員／作業員,機械加工技術人員,機械操作人員,工讀生,順序調整
管理部主管,資材主管,店長／門市管理人員,儲備幹部,品管／品保主管,電機工程主管,行政主管,人事／人力資源主管,總務主管,經營管理主管,專案業務主管,順序調整
456 台北台大餐廳 服務員(兼職),調酒師／吧台人員,飯店／旅館服務人員,侍酒師,冷熱飲調製人員,門市／店員／專櫃人員,餐飲服務人員,餐廚助手,,,,順序調整
晚班工讀15-23時薪$196起薪,生鮮處理人員,冷熱飲調製人員,倉管／物料管理員,外務／快遞／送貨,倉儲物流人員,門市／店員／專櫃人員,售票／收銀人員,,,,順序調整
產品推廣人員/助理(台中),國貿助理,行銷企劃助理,採購助理,秘書,業務助理,活動企劃人員,產品企劃人員,客服工程師,業務工程師,國內業務人員,順序調整
營業專員(籌備幹部),儲備幹部,客服主管,國內業務主管,國外業務主管,資材主管,太陽能技術工程師,現場規劃工程師,國內業務人員,產品企劃人員,通路開發人員,順序調整
業務司機(月薪40000元起，電洽0919-089168),國外業務人員,國貿人員,報關人員,廣告AE,空運／船務,外務／快遞／送貨,小客車／小貨車司機,大貨車司機,國內業務人員,通路開發人員,順序調整
豬烤官2.0 虎尾店誠徵 外場計時人員,調酒師／吧台人員,冷熱飲調製人員,侍酒師,門市／店員／專櫃人員,飯店／旅館服務人員,餐飲服務人員,餐廚助手,工讀生,總機／接待／櫃檯人員,客服人員,順序調整
行政／出貨助理（固定休六日）,採購助理,秘書,國貿助理,電腦操作／資料輸入,業務助理,行政人員,行政助理,活動企劃人員,社群經營人員,客服人員,順序調整
宴會訂席主管  業務經理職缺(新店館),國內業務主管,國外業務主管,儲備幹部,客服主管,產品企劃主管,國內業務人員,行銷企劃人員,婚禮企劃人員,產品經理,客服人員,順序調整
兼職電銷工讀(新北S1150521004),行銷企劃人員,廣告設計,門市／店員／專櫃人員,活動企劃人員,廣告AE,工讀生,電話客服人員,電話行銷人員,業務助理,客服人員,順序調整
行政門市倉管 (無經驗可) (✨有年終、績效獎金及抽成),資材人員,電腦操作／資料輸入,秘書,採購助理,業務助理,行政人員,倉管／物料管理員,店長／門市管理人員,品管／品保主管,客服人員,順序調整
資訊服務顧問-台中,神秘客,電話客服人員,平面設計,客服人員,資料庫管理人員,其他專案管理師,資訊助理人員,軟體相關管理師,客服工程師,ERP專案管理師,順序調整
系統工程師-高雄,軟體工程師,IC佈局工程師,水電工程師,PLC／自動控制工程師,IC設計工程師,系統工程師,客服工程師,技術文件／說明書編譯,資安工程師,嵌入式工程師,順序調整
【台南日商】半導體設備工程師(享年終+年中),數位IC設計工程師,RF通訊工程師,BIOS工程師,IC佈局工程師,測試工程師,軟體助理工程師,機械設備組裝測試人員,電機設備裝配員,半導體設備工程師,光學工程師,順序調整
台中 中科 ⭐半導體裝機工程師(享年終+年中)須出差,BIOS工程師,工業設計,PLC／自動控制工程師,設備工程主管,電腦組裝／維修,軟體助理工程師,機械設備組裝測試人員,電機設備裝配員,半導體設備工程師,光學工程師,順序調整
機電工程師,智慧製程工程師,PLC／自動控制工程師,電機技師／工程師,電機設備裝配員,水電工,水電工程師,電機維修人員,內業工程人員,工地監工,機電技師／工程師,順序調整
中區(雲林)機械維修工程師,PLC／自動控制工程師,電機設備裝配員,電機技師／工程師,機構工程師,生產設備工程師,機械工程師,產品設備維修人員,機械設備組裝測試人員,電機維修人員,機電技師／工程師,順序調整
助理工程師,軟體助理工程師,軟體工程師,系統工程師,韌體工程師,光電／半導體工程助理,太陽能技術工程師,CAD／CAM工程師,水電及其他工程繪圖人員,機械設計／繪圖人員,機電技師／工程師,順序調整
