# worst case 拯救方案：已驗證安全的手術式修正（儲備幹部/駐校代表/電話行銷人員 三桶，共615筆，零誤傷本次已救回案例）
問題桶,職缺名稱,duty0,duty1,duty2,duty3,duty4,現有版本_推薦1,現有版本_推薦2,現有版本_推薦3,現有版本_推薦4,現有版本_推薦5,現有版本_推薦6,現有版本_推薦7,現有版本_推薦8,現有版本_推薦9,現有版本_推薦10,理想推薦_1,理想推薦_2,理想推薦_3,理想推薦_4,理想推薦_5,理想推薦_6,理想推薦_7,理想推薦_8,理想推薦_9,理想推薦_10
儲備幹部類(連鎖超商+班別),全家便利商店 新竹金湖店 長期大夜班,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,店長／門市管理人員,餐飲主管,日式廚師,中／港式點心廚師,中式廚師,餐飲服務人員,其他料理廚師,洗碗人員,餐廚助手,門市／店員／專櫃人員,店長／門市管理人員,餐飲主管,其他料理廚師,餐廚助手,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店（金自由）晚班PT,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,日式廚師,中／港式點心廚師,洗碗人員,中式廚師,鐵板燒廚師,餐飲服務人員,其他料理廚師,餐廚助手,中式麵點人員／師傅,門市／店員／專櫃人員,鐵板燒廚師,其他料理廚師,餐廚助手,中式麵點人員／師傅,,,,,
儲備幹部類(連鎖超商+班別),全家桃園愛國店 晚班,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,日式廚師,中／港式點心廚師,餐飲主管,中式廚師,其他料理廚師,餐飲服務人員,洗碗人員,餐廚助手,店長／門市管理人員,門市／店員／專櫃人員,餐飲主管,其他料理廚師,餐廚助手,店長／門市管理人員,,,,,
儲備幹部類(連鎖超商+班別),全家板橋華陽店晚班正職人員,門市／店員／專櫃人員,售票／收銀人員,,,,餐飲服務人員,日式廚師,儲備幹部,餐飲領班,中／港式點心廚師,洗碗人員,餐飲主管,飯店／旅館工作人員,中式廚師,生鮮處理人員,門市／店員／專櫃人員,餐飲領班,餐飲主管,飯店／旅館工作人員,生鮮處理人員,,,,,
儲備幹部類(連鎖超商+班別),統一超商歸仁正權店晚班正職人員,門市／店員／專櫃人員,,,,,餐飲服務人員,日式廚師,儲備幹部,中／港式點心廚師,中式廚師,餐飲領班,洗碗人員,生鮮處理人員,餐飲主管,餐廚助手,門市／店員／專櫃人員,餐飲領班,生鮮處理人員,餐飲主管,餐廚助手,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店早、晚班、大夜班正職（全家德民店）,門市／店員／專櫃人員,,,,,日式廚師,餐飲服務人員,儲備幹部,中／港式點心廚師,中式廚師,其他料理廚師,餐飲主管,洗碗人員,餐廚助手,鐵板燒廚師,門市／店員／專櫃人員,其他料理廚師,餐飲主管,餐廚助手,鐵板燒廚師,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店桃園國安店誠徵晚班,門市／店員／專櫃人員,,,,,儲備幹部,餐飲主管,日式廚師,中／港式點心廚師,中式廚師,店長／門市管理人員,餐飲服務人員,其他料理廚師,洗碗人員,餐廚助手,門市／店員／專櫃人員,餐飲主管,店長／門市管理人員,其他料理廚師,餐廚助手,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店正職大夜班,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,中／港式點心廚師,日式廚師,餐飲服務人員,中式廚師,洗碗人員,店長／門市管理人員,餐廚助手,其他料理廚師,餐飲主管,門市／店員／專櫃人員,店長／門市管理人員,餐廚助手,其他料理廚師,餐飲主管,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店-早、晚班正職人員(永和區),門市／店員／專櫃人員,售票／收銀人員,,,,餐飲服務人員,儲備幹部,日式廚師,中／港式點心廚師,洗碗人員,生鮮處理人員,加油服務,中式廚師,餐飲領班,樓面管理人員,門市／店員／專櫃人員,生鮮處理人員,加油服務,餐飲領班,樓面管理人員,,,,,
儲備幹部類(連鎖超商+班別),全家林內重興店晚班,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,日式廚師,餐飲主管,餐飲服務人員,中／港式點心廚師,中式廚師,洗碗人員,其他料理廚師,餐廚助手,店長／門市管理人員,門市／店員／專櫃人員,餐飲主管,其他料理廚師,餐廚助手,店長／門市管理人員,,,,,
儲備幹部類(連鎖超商+班別),全家便利店(高雄 鑫天地店) 徵(晚班)正職服務人員,門市／店員／專櫃人員,售票／收銀人員,,,,餐飲服務人員,飯店／旅館工作人員,日式廚師,餐飲領班,洗碗人員,生鮮處理人員,儲備幹部,中／港式點心廚師,中式廚師,加油服務,門市／店員／專櫃人員,飯店／旅館工作人員,餐飲領班,生鮮處理人員,加油服務,,,,,
儲備幹部類(連鎖超商+班別),全家台南台江店大夜人員,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,餐飲服務人員,洗碗人員,日式廚師,中／港式點心廚師,餐飲主管,中式廚師,飯店／旅館工作人員,其他料理廚師,餐廚助手,門市／店員／專櫃人員,餐飲主管,飯店／旅館工作人員,其他料理廚師,餐廚助手,,,,,
儲備幹部類(連鎖超商+班別),全家便利店(高雄 鑫天地店) 徵(大夜)正職服務人員,門市／店員／專櫃人員,售票／收銀人員,,,,餐飲服務人員,飯店／旅館工作人員,洗碗人員,日式廚師,餐飲領班,儲備幹部,中／港式點心廚師,生鮮處理人員,加油服務,中式廚師,門市／店員／專櫃人員,飯店／旅館工作人員,餐飲領班,生鮮處理人員,加油服務,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店 太保高鐵店-晚班職員,門市／店員／專櫃人員,售票／收銀人員,,,,日式廚師,中式廚師,餐飲服務人員,中／港式點心廚師,儲備幹部,其他料理廚師,鐵板燒廚師,洗碗人員,餐飲主管,餐廚助手,門市／店員／專櫃人員,其他料理廚師,鐵板燒廚師,餐飲主管,餐廚助手,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店PT大夜,門市／店員／專櫃人員,,,,,儲備幹部,中／港式點心廚師,洗碗人員,日式廚師,中式廚師,衣物整燙人員,其他料理廚師,家事服務／洗衣整燙,餐廚助手,店長／門市管理人員,門市／店員／專櫃人員,衣物整燙人員,其他料理廚師,家事服務／洗衣整燙,餐廚助手,店長／門市管理人員,,,,
儲備幹部類(連鎖超商+班別),全家便利商店徵晚班早班夜班,門市／店員／專櫃人員,,,,,儲備幹部,中／港式點心廚師,日式廚師,洗碗人員,餐飲服務人員,餐飲主管,中式廚師,工讀生,店長／門市管理人員,餐廚助手,門市／店員／專櫃人員,餐飲主管,工讀生,店長／門市管理人員,餐廚助手,,,,,
儲備幹部類(連鎖超商+班別),全家台中詠成店 大夜人員,門市／店員／專櫃人員,,,,,儲備幹部,餐飲服務人員,洗碗人員,中／港式點心廚師,日式廚師,餐飲主管,飯店／旅館工作人員,中式廚師,店長／門市管理人員,樓面管理人員,門市／店員／專櫃人員,餐飲主管,飯店／旅館工作人員,店長／門市管理人員,樓面管理人員,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店-福田二店晚班兼職,門市／店員／專櫃人員,,,,,洗碗人員,儲備幹部,日式廚師,餐飲服務人員,中／港式點心廚師,工讀生,餐飲主管,中式廚師,餐廚助手,飯店／旅館工作人員,門市／店員／專櫃人員,工讀生,餐飲主管,餐廚助手,飯店／旅館工作人員,,,,,
儲備幹部類(連鎖超商+班別),7-11裕田門市 大夜班店職員,門市／店員／專櫃人員,,,,,儲備幹部,店長／門市管理人員,餐飲服務人員,日式廚師,餐飲主管,中／港式點心廚師,中式廚師,樓面管理人員,其他料理廚師,餐廚助手,門市／店員／專櫃人員,店長／門市管理人員,餐飲主管,樓面管理人員,其他料理廚師,餐廚助手,,,,
儲備幹部類(連鎖超商+班別),全家秀水民主店-早/晚/大夜班,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,餐飲服務人員,日式廚師,餐飲主管,中／港式點心廚師,洗碗人員,中式廚師,店長／門市管理人員,其他料理廚師,飯店／旅館工作人員,門市／店員／專櫃人員,餐飲主管,店長／門市管理人員,其他料理廚師,飯店／旅館工作人員,,,,,
儲備幹部類(連鎖超商+班別),全家便利店太平熊幸福店大夜人員,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,洗碗人員,餐飲服務人員,日式廚師,中／港式點心廚師,飯店／旅館工作人員,餐飲主管,加油服務,衣物整燙人員,中式廚師,門市／店員／專櫃人員,飯店／旅館工作人員,餐飲主管,加油服務,衣物整燙人員,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店大里詠生加盟店 徵大夜班,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,加盟／招商人員,店長／門市管理人員,餐飲主管,不動產經紀人／營業員,不動產／商場開發人員,土地開發人員,不動產審核／估價師,國內業務人員,樓面管理人員,門市／店員／專櫃人員,加盟／招商人員,店長／門市管理人員,餐飲主管,不動產經紀人／營業員,不動產／商場開發人員,土地開發人員,不動產審核／估價師,國內業務人員,樓面管理人員
儲備幹部類(連鎖超商+班別),全家便利商店大里詠生加盟店 徵晚班,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,加盟／招商人員,餐飲主管,店長／門市管理人員,不動產經紀人／營業員,不動產／商場開發人員,土地開發人員,不動產審核／估價師,餐飲服務人員,樓面管理人員,門市／店員／專櫃人員,加盟／招商人員,餐飲主管,店長／門市管理人員,不動產經紀人／營業員,不動產／商場開發人員,土地開發人員,不動產審核／估價師,樓面管理人員,
儲備幹部類(連鎖超商+班別),全家北護店 晚班正兼職員工,門市／店員／專櫃人員,售票／收銀人員,,,,餐飲服務人員,洗碗人員,日式廚師,生鮮處理人員,餐廚助手,中／港式點心廚師,工讀生,中式廚師,飯店／旅館工作人員,加油服務,門市／店員／專櫃人員,生鮮處理人員,餐廚助手,工讀生,飯店／旅館工作人員,加油服務,,,,
儲備幹部類(連鎖超商+班別),店舖兼職服務人員-早班（全家新豐大興店）,門市／店員／專櫃人員,售票／收銀人員,,,,餐飲服務人員,飯店／旅館工作人員,洗碗人員,工讀生,儲備幹部,日式廚師,餐飲領班,外送人員,加油服務,中／港式點心廚師,門市／店員／專櫃人員,飯店／旅館工作人員,工讀生,餐飲領班,外送人員,加油服務,,,,
儲備幹部類(連鎖超商+班別),全家便利商店大里內新店徵晚班,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,餐廚助手,餐飲服務人員,中／港式點心廚師,日式廚師,中式廚師,店長／門市管理人員,其他料理廚師,餐飲領班,美容講師／技導,門市／店員／專櫃人員,餐廚助手,店長／門市管理人員,其他料理廚師,餐飲領班,美容講師／技導,,,,
儲備幹部類(連鎖超商+班別),全家便利商店霧峰金德店徵大夜班,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,中／港式點心廚師,日式廚師,餐飲主管,洗碗人員,店長／門市管理人員,中式廚師,餐飲服務人員,其他料理廚師,餐廚助手,門市／店員／專櫃人員,餐飲主管,店長／門市管理人員,其他料理廚師,餐廚助手,,,,,
儲備幹部類(連鎖超商+班別),店舖兼職服務人員-晚班（全家新豐大興店）,門市／店員／專櫃人員,售票／收銀人員,,,,餐飲服務人員,飯店／旅館工作人員,洗碗人員,工讀生,儲備幹部,日式廚師,餐飲領班,外送人員,加油服務,中／港式點心廚師,門市／店員／專櫃人員,飯店／旅館工作人員,工讀生,餐飲領班,外送人員,加油服務,,,,
儲備幹部類(連鎖超商+班別),全家龜山竹城店大夜班職員,門市／店員／專櫃人員,售票／收銀人員,,,,日式廚師,中式廚師,中／港式點心廚師,其他料理廚師,餐飲服務人員,儲備幹部,洗碗人員,餐廚助手,鐵板燒廚師,餐飲主管,門市／店員／專櫃人員,其他料理廚師,餐廚助手,鐵板燒廚師,餐飲主管,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店正職晚班,門市／店員／專櫃人員,售票／收銀人員,,,,日式廚師,儲備幹部,餐飲服務人員,中／港式點心廚師,中式廚師,餐飲主管,其他料理廚師,餐廚助手,洗碗人員,鐵板燒廚師,門市／店員／專櫃人員,餐飲主管,其他料理廚師,餐廚助手,鐵板燒廚師,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店中和安邦店誠徵早班全職人員,門市／店員／專櫃人員,售票／收銀人員,,,,日式廚師,中式廚師,餐飲服務人員,中／港式點心廚師,其他料理廚師,洗碗人員,鐵板燒廚師,餐廚助手,生鮮處理人員,西式廚師,門市／店員／專櫃人員,其他料理廚師,鐵板燒廚師,餐廚助手,生鮮處理人員,西式廚師,,,,
儲備幹部類(連鎖超商+班別),全家便利商店 早班,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,中／港式點心廚師,日式廚師,工讀生,餐飲主管,店長／門市管理人員,補習班招生人員,餐廚助手,餐飲服務人員,中式廚師,門市／店員／專櫃人員,工讀生,餐飲主管,店長／門市管理人員,補習班招生人員,餐廚助手,,,,
儲備幹部類(連鎖超商+班別),全家便利商店中央南路店午班/晚班兼職人員,門市／店員／專櫃人員,售票／收銀人員,,,,餐飲服務人員,洗碗人員,工讀生,日式廚師,飯店／旅館工作人員,中／港式點心廚師,儲備幹部,餐廚助手,加油服務,中式廚師,門市／店員／專櫃人員,工讀生,飯店／旅館工作人員,餐廚助手,加油服務,,,,,
儲備幹部類(連鎖超商+班別),全家新橋店（兼職晚班）,門市／店員／專櫃人員,售票／收銀人員,,,,洗碗人員,餐飲服務人員,日式廚師,中／港式點心廚師,儲備幹部,工讀生,飯店／旅館工作人員,衣物整燙人員,餐廚助手,中式廚師,門市／店員／專櫃人員,工讀生,飯店／旅館工作人員,衣物整燙人員,餐廚助手,,,,,
儲備幹部類(連鎖超商+班別),全家北護店早班正兼職員工,門市／店員／專櫃人員,售票／收銀人員,,,,餐飲服務人員,洗碗人員,日式廚師,生鮮處理人員,餐廚助手,中／港式點心廚師,工讀生,中式廚師,飯店／旅館工作人員,加油服務,門市／店員／專櫃人員,生鮮處理人員,餐廚助手,工讀生,飯店／旅館工作人員,加油服務,,,,
儲備幹部類(連鎖超商+班別),全家便利商店竹北日興店[大夜人員],門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,餐飲服務人員,洗碗人員,日式廚師,中／港式點心廚師,餐飲主管,店長／門市管理人員,加油服務,樓面管理人員,飯店／旅館工作人員,門市／店員／專櫃人員,餐飲主管,店長／門市管理人員,加油服務,樓面管理人員,飯店／旅館工作人員,,,,
儲備幹部類(連鎖超商+班別),全家便利商店 鳳山新福店-大夜班職員,門市／店員／專櫃人員,售票／收銀人員,,,,日式廚師,中式廚師,中／港式點心廚師,其他料理廚師,鐵板燒廚師,餐飲服務人員,餐廚助手,洗碗人員,西式廚師,儲備幹部,門市／店員／專櫃人員,其他料理廚師,鐵板燒廚師,餐廚助手,西式廚師,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店晚班正職,門市／店員／專櫃人員,,,,,日式廚師,儲備幹部,餐飲服務人員,中／港式點心廚師,中式廚師,餐飲主管,其他料理廚師,餐廚助手,洗碗人員,鐵板燒廚師,門市／店員／專櫃人員,餐飲主管,其他料理廚師,餐廚助手,鐵板燒廚師,,,,,
儲備幹部類(連鎖超商+班別),全家麥寮新工店正職-大夜班,門市／店員／專櫃人員,,,,,儲備幹部,餐飲服務人員,日式廚師,中／港式點心廚師,洗碗人員,餐飲主管,中式廚師,其他料理廚師,飯店／旅館工作人員,餐廚助手,門市／店員／專櫃人員,餐飲主管,其他料理廚師,飯店／旅館工作人員,餐廚助手,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店大夜班全職人員 - 大業店,門市／店員／專櫃人員,售票／收銀人員,,,,日式廚師,中式廚師,中／港式點心廚師,餐飲服務人員,其他料理廚師,鐵板燒廚師,洗碗人員,生鮮處理人員,餐廚助手,西式廚師,門市／店員／專櫃人員,其他料理廚師,鐵板燒廚師,生鮮處理人員,餐廚助手,西式廚師,,,,
儲備幹部類(連鎖超商+班別),全家便利商店（大夜班）,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,中／港式點心廚師,日式廚師,餐廚助手,中式廚師,洗碗人員,公家機關相關人員,衣物整燙人員,店長／門市管理人員,其他料理廚師,門市／店員／專櫃人員,餐廚助手,衣物整燙人員,店長／門市管理人員,其他料理廚師,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店［大夜班］,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,中／港式點心廚師,店長／門市管理人員,餐飲主管,日式廚師,中式廚師,其他料理廚師,公家機關相關人員,餐廚助手,洗碗人員,門市／店員／專櫃人員,店長／門市管理人員,餐飲主管,其他料理廚師,餐廚助手,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店「晚班」,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,中／港式點心廚師,工讀生,日式廚師,餐飲主管,餐廚助手,中式廚師,餐飲服務人員,其他料理廚師,公家機關相關人員,門市／店員／專櫃人員,工讀生,餐飲主管,餐廚助手,其他料理廚師,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店（晚班）,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,中／港式點心廚師,日式廚師,工讀生,餐飲主管,中式廚師,餐廚助手,餐飲服務人員,其他料理廚師,公家機關相關人員,門市／店員／專櫃人員,工讀生,餐飲主管,餐廚助手,其他料理廚師,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店［早班］,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,餐飲主管,店長／門市管理人員,中／港式點心廚師,日式廚師,補習班招生人員,工讀生,餐飲服務人員,加盟／招商人員,中式廚師,門市／店員／專櫃人員,餐飲主管,店長／門市管理人員,補習班招生人員,工讀生,加盟／招商人員,,,,
儲備幹部類(連鎖超商+班別),全家二崙新崙店 徵大夜正職人員,門市／店員／專櫃人員,,,,,餐飲服務人員,儲備幹部,洗碗人員,日式廚師,中／港式點心廚師,中式廚師,衣物整燙人員,餐廚助手,餐飲領班,其他料理廚師,門市／店員／專櫃人員,衣物整燙人員,餐廚助手,餐飲領班,其他料理廚師,,,,,
儲備幹部類(連鎖超商+班別),【徵】全家便利商店早班、晚班、大夜班,門市／店員／專櫃人員,,,,,儲備幹部,中／港式點心廚師,日式廚師,餐飲主管,餐飲服務人員,中式廚師,店長／門市管理人員,餐廚助手,其他料理廚師,洗碗人員,門市／店員／專櫃人員,餐飲主管,店長／門市管理人員,餐廚助手,其他料理廚師,,,,,
儲備幹部類(連鎖超商+班別),7-11里農門市  晚班店職員,門市／店員／專櫃人員,,,,,日式廚師,生鮮處理人員,中／港式點心廚師,中式廚師,餐飲服務人員,其他料理廚師,餐廚助手,洗碗人員,儲備幹部,餐飲主管,門市／店員／專櫃人員,生鮮處理人員,其他料理廚師,餐廚助手,餐飲主管,,,,,
儲備幹部類(連鎖超商+班別),統一超商早晚班（新莊龍盛）,門市／店員／專櫃人員,,,,,儲備幹部,中／港式點心廚師,工讀生,中式麵點人員／師傅,西點蛋糕師,加油服務,補習班招生人員,餐廚助手,洗碗人員,餐飲服務人員,門市／店員／專櫃人員,工讀生,中式麵點人員／師傅,西點蛋糕師,加油服務,補習班招生人員,餐廚助手,,,
儲備幹部類(連鎖超商+班別),全家便利商店大夜正職,門市／店員／專櫃人員,售票／收銀人員,,,,中／港式點心廚師,日式廚師,中式廚師,儲備幹部,其他料理廚師,餐飲服務人員,洗碗人員,餐廚助手,餐飲主管,鐵板燒廚師,門市／店員／專櫃人員,其他料理廚師,餐廚助手,餐飲主管,鐵板燒廚師,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店––昌盛店★★正職早班,門市／店員／專櫃人員,售票／收銀人員,,,,日式廚師,儲備幹部,餐飲服務人員,中／港式點心廚師,中式廚師,其他料理廚師,餐飲主管,洗碗人員,餐廚助手,鐵板燒廚師,門市／店員／專櫃人員,其他料理廚師,餐飲主管,餐廚助手,鐵板燒廚師,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店––昌盛店★★正職晚班,門市／店員／專櫃人員,售票／收銀人員,,,,日式廚師,儲備幹部,餐飲服務人員,中／港式點心廚師,中式廚師,餐飲主管,其他料理廚師,洗碗人員,鐵板燒廚師,餐廚助手,門市／店員／專櫃人員,餐飲主管,其他料理廚師,鐵板燒廚師,餐廚助手,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店––昌盛店★★正職大夜,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,日式廚師,中／港式點心廚師,中式廚師,餐飲服務人員,洗碗人員,其他料理廚師,餐飲主管,餐廚助手,店長／門市管理人員,門市／店員／專櫃人員,其他料理廚師,餐飲主管,餐廚助手,店長／門市管理人員,,,,,
儲備幹部類(連鎖超商+班別),全家台南安中店-早班正職、工讀,門市／店員／專櫃人員,售票／收銀人員,,,,餐飲服務人員,日式廚師,工讀生,洗碗人員,飯店／旅館工作人員,中／港式點心廚師,儲備幹部,餐飲領班,中式廚師,餐廚助手,門市／店員／專櫃人員,工讀生,飯店／旅館工作人員,餐飲領班,餐廚助手,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店大夜班-林園鑫園店,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,中／港式點心廚師,日式廚師,餐飲主管,店長／門市管理人員,中式廚師,洗碗人員,其他料理廚師,餐飲服務人員,餐廚助手,門市／店員／專櫃人員,餐飲主管,店長／門市管理人員,其他料理廚師,餐廚助手,,,,,
儲備幹部類(連鎖超商+班別),全家北護店晚班兼職人員,門市／店員／專櫃人員,售票／收銀人員,,,,餐飲服務人員,洗碗人員,日式廚師,工讀生,飯店／旅館工作人員,中／港式點心廚師,儲備幹部,餐廚助手,中式廚師,生鮮處理人員,門市／店員／專櫃人員,工讀生,飯店／旅館工作人員,餐廚助手,生鮮處理人員,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店大夜班,門市／店員／專櫃人員,售票／收銀人員,,,,中／港式點心廚師,衣物整燙人員,儲備幹部,洗碗人員,家事服務／洗衣整燙,總機／接待／櫃檯人員,店長／門市管理人員,公家機關相關人員,日式廚師,中式廚師,門市／店員／專櫃人員,衣物整燙人員,家事服務／洗衣整燙,總機／接待／櫃檯人員,店長／門市管理人員,,,,,
儲備幹部類(連鎖超商+班別),全家北護店早班兼職人員,門市／店員／專櫃人員,售票／收銀人員,,,,餐飲服務人員,洗碗人員,日式廚師,工讀生,中／港式點心廚師,飯店／旅館工作人員,儲備幹部,中式廚師,餐廚助手,生鮮處理人員,門市／店員／專櫃人員,工讀生,飯店／旅館工作人員,餐廚助手,生鮮處理人員,,,,,
儲備幹部類(連鎖超商+班別),全家土城頂運店晚班正職人員,店長／門市管理人員,店長／門市管理人員,門市／店員／專櫃人員,,,餐飲服務人員,儲備幹部,日式廚師,中／港式點心廚師,餐飲領班,洗碗人員,飯店／旅館工作人員,餐飲主管,中式廚師,生鮮處理人員,店長／門市管理人員,餐飲領班,飯店／旅館工作人員,餐飲主管,生鮮處理人員,,,,,
儲備幹部類(連鎖超商+班別),全家玄武店 晚班PT,門市／店員／專櫃人員,售票／收銀人員,門市／店員／專櫃人員,,,儲備幹部,餐飲服務人員,日式廚師,洗碗人員,中／港式點心廚師,中式廚師,其他料理廚師,餐飲主管,餐廚助手,餐飲領班,門市／店員／專櫃人員,其他料理廚師,餐飲主管,餐廚助手,餐飲領班,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店 太保高鐵店-假日班職員,店長／門市管理人員,售票／收銀人員,門市／店員／專櫃人員,,,日式廚師,中式廚師,餐飲服務人員,中／港式點心廚師,其他料理廚師,洗碗人員,鐵板燒廚師,餐廚助手,儲備幹部,生鮮處理人員,店長／門市管理人員,其他料理廚師,鐵板燒廚師,餐廚助手,生鮮處理人員,,,,,
儲備幹部類(連鎖超商+班別),全家明倫店徵兼職早晚班人員,店長／門市管理人員,售票／收銀人員,門市／店員／專櫃人員,,,餐飲服務人員,日式廚師,洗碗人員,飯店／旅館工作人員,工讀生,中／港式點心廚師,儲備幹部,中式廚師,餐廚助手,餐飲主管,售票／收銀人員,飯店／旅館工作人員,工讀生,餐廚助手,餐飲主管,,,,,
儲備幹部類(連鎖超商+班別),全家玄武店 大夜正職,門市／店員／專櫃人員,售票／收銀人員,門市／店員／專櫃人員,,,儲備幹部,日式廚師,餐飲服務人員,中／港式點心廚師,中式廚師,洗碗人員,其他料理廚師,餐飲主管,餐廚助手,店長／門市管理人員,門市／店員／專櫃人員,其他料理廚師,餐飲主管,餐廚助手,店長／門市管理人員,,,,,
儲備幹部類(連鎖超商+班別),全家玄武店 早班正職,門市／店員／專櫃人員,售票／收銀人員,門市／店員／專櫃人員,,,餐飲服務人員,儲備幹部,日式廚師,中／港式點心廚師,中式廚師,洗碗人員,餐飲主管,其他料理廚師,餐飲領班,餐廚助手,門市／店員／專櫃人員,餐飲主管,其他料理廚師,餐飲領班,餐廚助手,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店芝玉店午班/晚班兼職人員,門市／店員／專櫃人員,售票／收銀人員,門市／店員／專櫃人員,,,餐飲服務人員,洗碗人員,工讀生,日式廚師,飯店／旅館工作人員,中／港式點心廚師,儲備幹部,餐廚助手,中式廚師,生鮮處理人員,門市／店員／專櫃人員,工讀生,飯店／旅館工作人員,餐廚助手,生鮮處理人員,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店午班/晚班全職人員 - 中央南路店,門市／店員／專櫃人員,售票／收銀人員,門市／店員／專櫃人員,,,日式廚師,餐飲服務人員,中式廚師,中／港式點心廚師,其他料理廚師,洗碗人員,鐵板燒廚師,生鮮處理人員,餐廚助手,西式廚師,門市／店員／專櫃人員,其他料理廚師,鐵板燒廚師,生鮮處理人員,餐廚助手,西式廚師,,,,
儲備幹部類(連鎖超商+班別),全家玄武店 早班PT,門市／店員／專櫃人員,售票／收銀人員,門市／店員／專櫃人員,,,儲備幹部,餐飲服務人員,日式廚師,洗碗人員,中／港式點心廚師,中式廚師,其他料理廚師,餐飲主管,餐廚助手,餐飲領班,門市／店員／專櫃人員,其他料理廚師,餐飲主管,餐廚助手,餐飲領班,,,,,
儲備幹部類(連鎖超商+班別),全家惠慶店大夜班,店長／門市管理人員,門市／店員／專櫃人員,售票／收銀人員,,,日式廚師,儲備幹部,中／港式點心廚師,中式廚師,其他料理廚師,餐飲服務人員,洗碗人員,餐飲主管,餐廚助手,鐵板燒廚師,店長／門市管理人員,其他料理廚師,餐飲主管,餐廚助手,鐵板燒廚師,,,,,
儲備幹部類(連鎖超商+班別),三商家購✦美廉社✦高雄-左營區-晚班計時人員(需可2400下班),店長／門市管理人員,門市／店員／專櫃人員,售票／收銀人員,,,餐飲服務人員,飯店／旅館工作人員,工讀生,餐飲領班,洗碗人員,生鮮處理人員,外送人員,餐飲主管,儲備幹部,中／港式點心廚師,門市／店員／專櫃人員,飯店／旅館工作人員,工讀生,餐飲領班,生鮮處理人員,外送人員,餐飲主管,,,
儲備幹部類(連鎖超商+班別),全家新春店晚班全職,店長／門市管理人員,門市／店員／專櫃人員,售票／收銀人員,,,洗碗人員,儲備幹部,日式廚師,餐飲服務人員,衣物整燙人員,中／港式點心廚師,中式廚師,家事服務／洗衣整燙,其他料理廚師,餐廚助手,店長／門市管理人員,衣物整燙人員,家事服務／洗衣整燙,其他料理廚師,餐廚助手,,,,,
儲備幹部類(連鎖超商+班別),全家超商 東區 大夜班全職人員,店長／門市管理人員,門市／店員／專櫃人員,售票／收銀人員,,,日式廚師,餐飲服務人員,中／港式點心廚師,中式廚師,洗碗人員,其他料理廚師,生鮮處理人員,鐵板燒廚師,餐廚助手,餐飲領班,店長／門市管理人員,其他料理廚師,生鮮處理人員,鐵板燒廚師,餐廚助手,餐飲領班,,,,
